order_id,order_date,Full_Name,city,state,zip_code,product_id,product_name,category_name,brand_name,quantity,list_price,discount,Revenue,staff_id,Staff_FullName,store_id,store_name,StoreCity,StoreState,StoreZip
1,1/1/16,Johnathan Velazquez,Pleasanton,CA,94566,4,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Trek,1,2899.99,0.2,2899.79,2,MireyaCopeland,1,Santa Cruz Bikes,Santa Cruz,CA,95060
1,1/1/16,Johnathan Velazquez,Pleasanton,CA,94566,8,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,2,1799.99,0.07,3599.91,2,MireyaCopeland,1,Santa Cruz Bikes,Santa Cruz,CA,95060
1,1/1/16,Johnathan Velazquez,Pleasanton,CA,94566,10,Surly Straggler - 2016,Cyclocross Bicycles,Surly,2,1549,0.05,3097.95,2,MireyaCopeland,1,Santa Cruz Bikes,Santa Cruz,CA,95060
1,1/1/16,Johnathan Velazquez,Pleasanton,CA,94566,16,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,2,599.99,0.05,1199.93,2,MireyaCopeland,1,Santa Cruz Bikes,Santa Cruz,CA,95060
1,1/1/16,Johnathan Velazquez,Pleasanton,CA,94566,20,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,1,599.99,0.2,599.79,2,MireyaCopeland,1,Santa Cruz Bikes,Santa Cruz,CA,95060
2,1/1/16,Jaqueline Cummings,Huntington Station,NY,11746,16,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,2,599.99,0.05,1199.93,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
2,1/1/16,Jaqueline Cummings,Huntington Station,NY,11746,20,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,1,599.99,0.07,599.92,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
3,1/2/16,Joshua Robertson,Patchogue,NY,11772,3,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,1,999.99,0.05,999.94,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
3,1/2/16,Joshua Robertson,Patchogue,NY,11772,20,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,1,599.99,0.05,599.94,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
4,1/3/16,Nova Hess,Duarte,CA,91010,2,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Ritchey,2,749.99,0.1,1499.88,3,GennaSerrano,1,Santa Cruz Bikes,Santa Cruz,CA,95060
5,1/3/16,Arla Ellis,Utica,NY,13501,10,Surly Straggler - 2016,Cyclocross Bicycles,Surly,2,1549,0.05,3097.95,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
5,1/3/16,Arla Ellis,Utica,NY,13501,17,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,1,429,0.07,428.93,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
5,1/3/16,Arla Ellis,Utica,NY,13501,26,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Electra,1,599.99,0.07,599.92,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
6,1/4/16,Sharyn Hopkins,Baldwinsville,NY,13027,3,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,2,999.99,0.07,1999.91,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
6,1/4/16,Sharyn Hopkins,Baldwinsville,NY,13027,9,Trek Conduit+ - 2016,Electric Bikes,Trek,2,2999.99,0.07,5999.91,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
6,1/4/16,Sharyn Hopkins,Baldwinsville,NY,13027,12,Electra Townie Original 21D - 2016,Cruisers Bicycles,Electra,2,549.99,0.05,1099.93,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
6,1/4/16,Sharyn Hopkins,Baldwinsville,NY,13027,18,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Pure Cycles,1,449,0.07,448.93,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
6,1/4/16,Sharyn Hopkins,Baldwinsville,NY,13027,20,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,1,599.99,0.1,599.89,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
7,1/4/16,Laureen Paul,Bellmore,NY,11710,3,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,1,999.99,0.1,999.89,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
7,1/4/16,Laureen Paul,Bellmore,NY,11710,15,Electra Moto 1 - 2016,Cruisers Bicycles,Electra,1,529.99,0.07,529.92,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
7,1/4/16,Laureen Paul,Bellmore,NY,11710,17,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,2,429,0.1,857.9,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
8,1/4/16,Leslie Higgins,Saratoga Springs,NY,12866,20,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,2,599.99,0.07,1199.91,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
8,1/4/16,Leslie Higgins,Saratoga Springs,NY,12866,22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,1,269.99,0.05,269.94,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
9,1/5/16,Neil Mccall,San Carlos,CA,94070,7,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,2,3999.99,0.1,7999.88,2,MireyaCopeland,1,Santa Cruz Bikes,Santa Cruz,CA,95060
10,1/5/16,Alane Munoz,Yonkers,NY,10701,14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,1,269.99,0.1,269.89,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
11,1/5/16,Tarra Guerrero,Auburn,NY,13021,8,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,1,1799.99,0.05,1799.94,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
11,1/5/16,Tarra Guerrero,Auburn,NY,13021,16,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,2,599.99,0.2,1199.78,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
11,1/5/16,Tarra Guerrero,Auburn,NY,13021,22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,2,269.99,0.1,539.88,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
12,1/6/16,Marvin Mullins,San Diego,CA,92111,4,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Trek,2,2899.99,0.1,5799.88,2,MireyaCopeland,1,Santa Cruz Bikes,Santa Cruz,CA,95060
12,1/6/16,Marvin Mullins,San Diego,CA,92111,11,Surly Straggler 650b - 2016,Cyclocross Bicycles,Surly,1,1680.99,0.05,1680.94,2,MireyaCopeland,1,Santa Cruz Bikes,Santa Cruz,CA,95060
13,1/8/16,Patience Clayton,Niagara Falls,NY,14304,13,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Electra,1,269.99,0.1,269.89,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
13,1/8/16,Patience Clayton,Niagara Falls,NY,14304,16,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,2,599.99,0.05,1199.93,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
13,1/8/16,Patience Clayton,Niagara Falls,NY,14304,17,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,2,429,0.05,857.95,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
13,1/8/16,Patience Clayton,Niagara Falls,NY,14304,20,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,2,599.99,0.1,1199.88,6,MarceleneBoyer,2,Baldwin Bikes,Baldwin,NY,11432
14,1/9/16,Maribel William,Torrance,CA,90505,6,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,Surly,1,469.99,0.07,469.92,3,GennaSerrano,1,Santa Cruz Bikes,Santa Cruz,CA,95060
15,1/9/16,Ellsworth Michael,Carmel,NY,10512,8,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,1,1799.99,0.07,1799.92,7,VenitaDaniel,2,Baldwin Bikes,Baldwin,NY,11432
